Executando testes para instância: A-n32-k5
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.75 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 799.3 | Desvio Padrão: 19.206769639895203
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.4 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 796.2 | Desvio Padrão: 14.95028799425319
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.75 | crossover_bias: 0.85 -> Melhor Custo: 785 | Média: 805.4 | Desvio Padrão: 16.40596097629016
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.1 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 808.5 | Desvio Padrão: 18.76906438205639
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.125 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 810.4 | Desvio Padrão: 28.33215683831909
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.15 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 808.1 | Desvio Padrão: 22.38278108030566
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.2 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 800.6 | Desvio Padrão: 12.518430856585466
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.3 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 797.1 | Desvio Padrão: 21.599639914694052
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.4 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 799.1 | Desvio Padrão: 11.58015543937127
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.75 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 793.4 | Desvio Padrão: 9.070097390142328
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.1 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 788.6 | Desvio Padrão: 8.946756084997759
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.125 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 788.5 | Desvio Padrão: 9.969397619158787
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.15 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 787.5 | Desvio Padrão: 8.3032791380541
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.2 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 792.0 | Desvio Padrão: 13.39983416149452
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.3 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 790.1 | Desvio Padrão: 11.039826890752307
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.4 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 794.0 | Desvio Padrão: 12.427567921538166
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.75 | crossover_bias: 0.6 -> Melhor Custo: 785 | Média: 793.5 | Desvio Padrão: 10.66927051551948
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.1 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 788.7 | Desvio Padrão: 9.888826466719339
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.125 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 786.5 | Desvio Padrão: 5.854722690083432
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.15 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 791.8 | Desvio Padrão: 11.998148005236288
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.2 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 791.3 | Desvio Padrão: 15.085312945599327
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.3 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 791.0 | Desvio Padrão: 11.392004993756707
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.4 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 793.8 | Desvio Padrão: 12.585706178041818
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.75 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 793.3 | Desvio Padrão: 11.681419244062578
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.1 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 790.6 | Desvio Padrão: 11.93687098400954
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.125 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 784.2 | Desvio Padrão: 0.42163702135578396
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.15 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 791.8 | Desvio Padrão: 15.753659186924725
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.2 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 792.2 | Desvio Padrão: 16.877335229367354
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.3 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 790.6 | Desvio Padrão: 12.121606054204754
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.4 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 784.5 | Desvio Padrão: 0.7071067811865476
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.75 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 799.7 | Desvio Padrão: 13.199747472331934
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.1 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 784.8 | Desvio Padrão: 0.9189365834726815
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.125 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 792.7 | Desvio Padrão: 12.658330590300338
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.15 | crossover_bias: 0.75 -> Melhor Custo: 786 | Média: 798.5 | Desvio Padrão: 13.251834254589479
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.2 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 787.5 | Desvio Padrão: 8.3032791380541
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.3 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 801.4 | Desvio Padrão: 19.76079170703666
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.4 | crossover_bias: 0.75 -> Melhor Custo: 785 | Média: 795.6 | Desvio Padrão: 16.00833116432399
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.75 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 798.8 | Desvio Padrão: 17.743856526822018
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.1 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 798.1 | Desvio Padrão: 17.336217708728867
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.125 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 797.8 | Desvio Padrão: 17.42794690528214
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.15 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 809.4 | Desvio Padrão: 23.453026338714675
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.2 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 802.7 | Desvio Padrão: 20.011385648064348
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.3 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 788.8 | Desvio Padrão: 8.85437744847146
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.4 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 793.0 | Desvio Padrão: 12.849556844930921
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.75 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 800.3 | Desvio Padrão: 16.200480102625217
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.1 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 796.6 | Desvio Padrão: 17.99506105080564
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.125 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 805.7 | Desvio Padrão: 22.430386136271085
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.15 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 798.9 | Desvio Padrão: 15.307587080340983
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.2 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 807.3 | Desvio Padrão: 18.98566710852046
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.3 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 797.1 | Desvio Padrão: 16.927623709323303
Instância: A-n32-k5 | elitism: 0.2 | mutation_ratio: 0.4 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 808.2 | Desvio Padrão: 21.663076625652433
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.75 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 792.7 | Desvio Padrão: 11.343622780125305
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.1 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 785.1 | Desvio Padrão: 0.9944289260117531
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.125 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 784.8 | Desvio Padrão: 0.7888106377466155
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.15 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 788.7 | Desvio Padrão: 8.90754985641082
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.2 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 788.8 | Desvio Padrão: 8.854377448471462
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.3 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 788.1 | Desvio Padrão: 6.967384333050994
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.4 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 784.5 | Desvio Padrão: 0.7071067811865476
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.75 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 788.2 | Desvio Padrão: 8.052604823561405
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.1 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 790.7 | Desvio Padrão: 10.594023472379758
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.125 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 792.5 | Desvio Padrão: 11.207636285636285
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.15 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 790.0 | Desvio Padrão: 9.225568335398698
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.2 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 791.3 | Desvio Padrão: 11.195733314278453
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.3 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 787.5 | Desvio Padrão: 8.3032791380541
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.4 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 786.7 | Desvio Padrão: 5.755190893638735
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.75 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 787.6 | Desvio Padrão: 6.9793345750946125
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.1 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 790.6 | Desvio Padrão: 17.024165830437106
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.125 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 788.8 | Desvio Padrão: 8.866917289691056
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.15 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 790.3 | Desvio Padrão: 10.934654391733954
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.2 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 794.9 | Desvio Padrão: 15.343836982102399
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.3 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 793.3 | Desvio Padrão: 11.728881731293338
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.4 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 787.7 | Desvio Padrão: 8.21989456542276
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.75 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 788.3 | Desvio Padrão: 9.14148055112883
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.1 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 785.4 | Desvio Padrão: 0.9660917830792958
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.125 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 791.8 | Desvio Padrão: 10.921945288678609
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.15 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 787.9 | Desvio Padrão: 5.384133067531753
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.2 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 790.3 | Desvio Padrão: 12.000462954032693
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.3 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 794.6 | Desvio Padrão: 11.654279137819817
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.4 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 785.1 | Desvio Padrão: 0.9944289260117531
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.75 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 797.6 | Desvio Padrão: 16.97187215496406
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.1 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 797.8 | Desvio Padrão: 14.24234687277502
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.125 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 789.6 | Desvio Padrão: 11.027239001672179
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.15 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 788.0 | Desvio Padrão: 9.533566430716728
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.2 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 796.7 | Desvio Padrão: 16.779948351132276
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.3 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 800.3 | Desvio Padrão: 17.863992337163108
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.4 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 791.4 | Desvio Padrão: 10.71032731111011
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.75 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 800.5 | Desvio Padrão: 21.16732282447536
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.1 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 792.2 | Desvio Padrão: 14.634813896246776
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.125 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 810.0 | Desvio Padrão: 25.729360660537214
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.15 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 796.4 | Desvio Padrão: 10.426462061078585
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.2 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 811.0 | Desvio Padrão: 24.087802353519553
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.3 | crossover_bias: 0.85 -> Melhor Custo: 784 | Média: 800.8 | Desvio Padrão: 20.087585995114274
Instância: A-n32-k5 | elitism: 0.3 | mutation_ratio: 0.4 | crossover_bias: 0.85 -> Melhor Custo: 785 | Média: 802.5 | Desvio Padrão: 16.63496985937222
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.75 | crossover_bias: 0.5 -> Melhor Custo: 785 | Média: 791.7 | Desvio Padrão: 10.414199707877486
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.1 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 786.2 | Desvio Padrão: 4.237399621885521
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.125 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 794.3 | Desvio Padrão: 12.18423389284511
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.15 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 786.5 | Desvio Padrão: 4.143267631552018
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.2 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 789.2 | Desvio Padrão: 7.539525478731699
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.3 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 785.2 | Desvio Padrão: 0.7888106377466154
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.4 | crossover_bias: 0.5 -> Melhor Custo: 785 | Média: 789.3 | Desvio Padrão: 8.590045918904558
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.75 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 788.8 | Desvio Padrão: 9.342852288722586
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.1 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 789.3 | Desvio Padrão: 9.6038186849468
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.125 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 786.5 | Desvio Padrão: 4.089281382128433
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.15 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 784.6 | Desvio Padrão: 0.699205898780101
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.2 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 786.6 | Desvio Padrão: 4.087922591134903
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.3 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 784.7 | Desvio Padrão: 0.8232726023485646
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.4 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 785.1 | Desvio Padrão: 0.7378647873726218
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.75 | crossover_bias: 0.7 -> Melhor Custo: 785 | Média: 788.8 | Desvio Padrão: 7.997221739801611
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.1 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 789.7 | Desvio Padrão: 7.071853442423076
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.125 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 792.4 | Desvio Padrão: 15.457468529268734
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.15 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 787.8 | Desvio Padrão: 8.189424074174363
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.2 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 788.9 | Desvio Padrão: 9.158481193832184
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.3 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 787.7 | Desvio Padrão: 8.219894565422761
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.4 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 785.1 | Desvio Padrão: 0.7378647873726218
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.75 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 793.6 | Desvio Padrão: 12.0756872360219
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.1 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 793.3 | Desvio Padrão: 15.599501416533942
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.125 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 789.7 | Desvio Padrão: 8.538149682454623
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.15 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 800.2 | Desvio Padrão: 20.676341821296898
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.2 | crossover_bias: 0.75 -> Melhor Custo: 785 | Média: 791.0 | Desvio Padrão: 10.381607668264957
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.3 | crossover_bias: 0.75 -> Melhor Custo: 785 | Média: 799.5 | Desvio Padrão: 15.848238598237554
Instância: A-n32-k5 | elitism: 0.5 | mutation_ratio: 0.4 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 798.4 | Desvio Padrão: 23.167026376104275
